Algorithm,Lines,SortedTime(ns),ShuffledTime(ns),ReversedTime(ns),SortedComparisons,ShuffledComparisons,ReversedComparisons
merge,1,3792,833,250,N/A,N/A,N/A
merge,51,270667,93958,79334,N/A,N/A,N/A
merge,101,305584,153667,173333,N/A,N/A,N/A
merge,151,591209,308917,216500,N/A,N/A,N/A
merge,201,1864458,444250,298458,N/A,N/A,N/A
merge,251,498209,422750,369125,N/A,N/A,N/A
merge,301,1091917,671041,356333,N/A,N/A,N/A
merge,351,692375,626625,355792,N/A,N/A,N/A
merge,401,1749167,714875,381291,N/A,N/A,N/A
merge,451,1318041,964708,254750,N/A,N/A,N/A
merge,501,1261541,670959,261708,N/A,N/A,N/A
merge,551,1110209,627917,246042,N/A,N/A,N/A
merge,601,1181542,407333,310084,N/A,N/A,N/A
merge,651,1423375,513500,382291,N/A,N/A,N/A
merge,701,1400875,476792,364625,N/A,N/A,N/A
merge,751,1441083,469750,387500,N/A,N/A,N/A
merge,801,1718708,502167,414209,N/A,N/A,N/A
merge,851,1244417,365667,250292,N/A,N/A,N/A
merge,901,1643125,607750,495167,N/A,N/A,N/A
merge,951,1298583,387333,275833,N/A,N/A,N/A
merge,1001,1309209,362167,282000,N/A,N/A,N/A
merge,1051,1383042,381583,308042,N/A,N/A,N/A
merge,1101,1335500,443000,325291,N/A,N/A,N/A
merge,1151,1328250,429500,345459,N/A,N/A,N/A
merge,1201,1375667,446791,352666,N/A,N/A,N/A
merge,1251,1825917,455500,378750,N/A,N/A,N/A
merge,1301,1490375,452541,396916,N/A,N/A,N/A
merge,1351,1592625,595459,560125,N/A,N/A,N/A
merge,1401,1594875,588500,431958,N/A,N/A,N/A
merge,1451,1523584,701375,566916,N/A,N/A,N/A
merge,1501,1684292,550792,466708,N/A,N/A,N/A
merge,1551,1626209,578417,523459,N/A,N/A,N/A
merge,1601,1540458,616959,496333,N/A,N/A,N/A
merge,1651,1894459,657000,524334,N/A,N/A,N/A
merge,1701,1597042,661833,583208,N/A,N/A,N/A
merge,1751,1618083,668958,635250,N/A,N/A,N/A
quick,1,3750,916,250,N/A,N/A,N/A
quick,51,604750,58208,57541,N/A,N/A,N/A
quick,101,1229375,127541,295917,N/A,N/A,N/A
quick,151,1766209,138542,244959,N/A,N/A,N/A
quick,201,2176083,212542,457750,N/A,N/A,N/A
quick,251,3221083,331125,709458,N/A,N/A,N/A
quick,301,4218875,465916,849375,N/A,N/A,N/A
quick,351,5089667,499167,780833,N/A,N/A,N/A
quick,401,7991959,451958,733250,N/A,N/A,N/A
quick,451,7215792,790625,1363250,N/A,N/A,N/A
quick,501,8856084,1147541,2025375,N/A,N/A,N/A
quick,551,10143709,1402709,2487375,N/A,N/A,N/A
quick,601,11810416,1724542,2702417,N/A,N/A,N/A
quick,651,10416542,1061709,1942750,N/A,N/A,N/A
quick,701,15373875,2294833,3907000,N/A,N/A,N/A
quick,751,17241916,2615000,4550583,N/A,N/A,N/A
quick,801,18862917,2988333,5200167,N/A,N/A,N/A
quick,851,20961125,3490333,6452833,N/A,N/A,N/A
