Company,Origin,Ref,ReviewDate,CocoaPercent,Location,Rating
Callebaut,Baking,141,2007,70.00,Belgium,1.00
Claudio Corallo,Principe,252,2008,100.00,Sao Tome,1.00
Cote d' Or (Kraft),Sensations Intense,48,2006,70.00,Belgium,1.00
Neuhaus (Callebaut),Dark,135,2007,73.00,Belgium,1.00
Bonnat,One Hundred,81,2006,100.00,France,1.50
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.00,Ecuador,1.50
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91.00,Ecuador,1.50
Coppeneur,Ecuador Puristique,817,2012,100.00,Germany,1.50
Dolfin (Belcolade),Noir,63,2006,70.00,Belgium,1.50
Machu Picchu Trading Co.,Peru,721,2011,70.00,Peru,1.50
Middlebury,Houseblend,887,2012,65.00,U.S.A.,1.50
S.A.I.D.,100 percent,615,2010,100.00,Italy,1.50
Snake & Butterfly,Ghana,693,2011,67.00,U.S.A.,1.50
Valrhona,Le Noir Extra Amer,147,2007,85.00,France,1.50
Artisan du Chocolat,Venezuela,486,2010,100.00,U.K.,1.75
Artisan du Chocolat,Brazil Rio Doce,363,2009,72.00,U.K.,1.75
Hotel Chocolat,"Island Growers, 2012, 120hr c.",1113,2013,100.00,U.K.,1.75
Cacao Barry,Tanzania,300,2008,75.00,France,2.00
Cacao Barry,Venezuela,141,2007,72.00,France,2.00
Caoni (Tulicorp),Esmeraldas,237,2008,77.00,Ecuador,2.00
Escazu,Guapiles,414,2009,65.00,U.S.A.,2.00
Felchlin,Supremo- SF,105,2006,62.00,Switzerland,2.00
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81.00,U.S.A.,2.00
Habitual,one hundred,1205,2014,100.00,Canada,2.00
Hoja Verde (Tulicorp),Arriba,414,2009,80.00,Ecuador,2.00
Jacque Torres,Trinatario Treasure,5,2006,71.00,U.S.A.,2.00
Ki' Xocolatl,Dark,431,2009,72.00,Mexico,2.00
Love Bar,Nicaragua,1502,2015,75.00,U.S.A.,2.00
Maglio,Africa,300,2008,75.00,Italy,2.00
Majani,Ecuador,531,2010,70.00,Italy,2.00
Michel Cluizel,Carre Amer,24,2006,60.00,France,2.00
Michel Cluizel,Carre Grand Noir,24,2006,85.00,France,2.00
Michel Cluizel,Noir Infini,81,2006,99.00,France,2.00
Middlebury,Alto Beni,887,2012,75.00,U.S.A.,2.00
Neuhaus (Callebaut),West Africa,15,2006,73.00,Belgium,2.00
Olivia,Carribean-Raw,688,2011,76.00,Canada,2.00
Pacari,Raw,266,2008,100.00,Ecuador,2.00
Pralus,Cuyagua,451,2009,75.00,France,2.00
Pralus,Dominican Republic-Organic,280,2008,75.00,France,2.00
Santander (Compania Nacional),Colombian Semi Dark,32,2006,53.00,Colombia,2.00
Scharffen Berger,Extra Dark,15,2006,82.00,U.S.A.,2.00
Scharffen Berger,Kumasi Sambirano,40,2006,68.00,U.S.A.,2.00
Scharffen Berger,Jamaica a l'ancienne,56,2006,70.00,U.S.A.,2.00
Shark's,Hilo,713,2011,73.00,U.S.A.,2.00
TCHO,West Africa,1716,2016,62.00,U.S.A.,2.00
Tejas,Capistrano,821,2012,70.00,U.S.A.,2.00
Theo,"Venezuela; Barinos, Merida, Tachron",188,2007,91.00,U.S.A.,2.00
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,100.00,U.S.A.,2.00
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,90.00,U.S.A.,2.00
Cacao Atlanta,Patanemo,600,2010,75.00,U.S.A.,2.25
C-Amaro,Sao Tome,749,2011,78.00,Italy,2.25
Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70.00,U.K.,2.25
Finca,Puerto Rico,1283,2014,65.00,U.S.A.,2.25
Isidro,Peru,1279,2014,72.00,U.S.A.,2.25
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",1892,2016,70.00,Japan,2.25
Machu Picchu Trading Co.,Peru,552,2010,55.00,Peru,2.25
Marsatta,Dominican Republic,1189,2013,74.00,U.S.A.,2.25
