numLines,insertTime,searchTime,deleteTime,order
1,306334,3917,5291,sorted
1,3250,1250,1875,shuffled
1,3083,1209,1625,reversed
51,89375,29083,53375,sorted
51,45292,25375,51875,shuffled
51,35250,20833,36833,reversed
101,125000,59750,178333,sorted
101,88833,51958,81333,shuffled
101,59042,26375,47291,reversed
151,373750,116416,145792,sorted
151,96458,59709,89125,shuffled
151,77458,41667,69125,reversed
201,1474292,117666,168625,sorted
201,104625,52708,91458,shuffled
201,52625,42833,90167,reversed
251,771458,143083,204625,sorted
251,135042,64042,112375,shuffled
251,62750,73959,124458,reversed
301,905500,101875,160459,sorted
301,78125,77958,120292,shuffled
301,66250,62500,68708,reversed
351,840459,198792,277375,sorted
351,182042,92625,168375,shuffled
351,83750,93500,157541,reversed
401,875708,227291,274208,sorted
401,214250,105750,192042,shuffled
401,195667,102167,615375,reversed
451,2303167,336833,343083,sorted
451,195250,125750,253125,shuffled
451,105959,89209,105792,reversed
501,1624083,150333,247750,sorted
501,113458,133500,238500,shuffled
501,99083,99250,109833,reversed
551,1508334,189458,266000,sorted
551,125750,139958,124875,shuffled
551,111917,109083,111750,reversed
601,1256750,157917,288167,sorted
601,125500,123417,135375,shuffled
601,122791,114792,126292,reversed
651,1416458,177333,313250,sorted
651,138000,127583,141708,shuffled
651,136500,120333,129958,reversed
701,1269041,178625,387375,sorted
701,150417,141625,155458,shuffled
701,148709,130583,140958,reversed
751,1357792,231500,354583,sorted
751,154458,147583,163167,shuffled
751,155416,142250,149583,reversed
801,1275583,211208,385958,sorted
801,172334,162417,177666,shuffled
801,166958,155333,163500,reversed
851,1428000,216084,399417,sorted
851,178750,168042,184250,shuffled
851,173292,158334,172458,reversed
901,2512833,228375,426458,sorted
901,183250,170917,190792,shuffled
901,182667,164959,179292,reversed
951,1779000,248209,491542,sorted
951,212083,177625,191875,shuffled
951,192417,173750,189417,reversed
1001,1868834,245375,436167,sorted
1001,208541,184833,211291,shuffled
1001,201750,183292,200375,reversed
1051,1595375,276666,496583,sorted
1051,229959,195834,212584,shuffled
1051,219709,192958,207083,reversed
1101,1715583,288750,532417,sorted
1101,231875,211833,218541,shuffled
1101,218084,216125,227167,reversed
1151,1724791,359875,553209,sorted
1151,247333,216250,227417,shuffled
1151,235958,228458,233916,reversed
1201,1770666,381083,571750,sorted
1201,307500,226875,234083,shuffled
1201,255459,238750,261167,reversed
1251,1661875,341500,528500,sorted
1251,265125,236667,243291,shuffled
1251,250833,227959,256125,reversed
1301,2044375,351916,626958,sorted
1301,285916,252042,267292,shuffled
1301,355500,312167,301292,reversed
1351,1862542,420625,606334,sorted
1351,326083,256459,272542,shuffled
1351,278708,272834,285833,reversed
1401,2101750,361542,611459,sorted
1401,299166,262250,283500,shuffled
1401,281791,271042,290334,reversed
1451,2134541,374625,641791,sorted
1451,320083,275458,292541,shuffled
1451,304083,266750,304791,reversed
1501,2491791,463709,728583,sorted
1501,364083,328042,336625,shuffled
1501,347958,323709,364458,reversed
1551,2066916,433000,630708,sorted
1551,339208,302625,319125,shuffled
1551,313667,298834,322875,reversed
1601,1890000,428209,619708,sorted
1601,342167,308084,322625,shuffled
1601,323166,303250,331000,reversed
1651,2044834,429958,610042,sorted
1651,353042,319875,445500,shuffled
1651,352042,320250,337959,reversed
1701,2056666,490417,636584,sorted
1701,370041,330333,347292,shuffled
1701,430000,352208,412042,reversed
1751,2692125,389625,626333,sorted
1751,356459,337292,350583,shuffled
1751,382500,369458,371208,reversed
