Company,Origin,REF,Review Date,Cocoa Percent,Location,Rating
A. Morin,Agua Grande,1876,2016,63%,France,3.75
A. Morin,Kpime,1676,2015,70%,France,2.75
A. Morin,Atsane,1676,2015,70%,France,3
A. Morin,Akata,1680,2015,70%,France,3.5
A. Morin,Quilla,1704,2015,70%,France,3.5
A. Morin,Carenero,1315,2014,70%,France,2.75
A. Morin,Cuba,1315,2014,70%,France,3.5
A. Morin,Sur del Lago,1315,2014,70%,France,3.5
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75
A. Morin,Pablino,1319,2014,70%,France,4
A. Morin,Panama,1011,2013,70%,France,2.75
A. Morin,Madagascar,1011,2013,70%,France,3
A. Morin,Brazil,1011,2013,70%,France,3.25
A. Morin,Equateur,1011,2013,70%,France,3.75
A. Morin,Colombie,1015,2013,70%,France,2.75
A. Morin,Birmanie,1015,2013,70%,France,3
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25
A. Morin,Chuao,1015,2013,70%,France,4
A. Morin,Piura,1019,2013,70%,France,3.25
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5
A. Morin,Chanchamayo Province,1019,2013,63%,France,4
A. Morin,Bolivia,797,2012,70%,France,3.5
A. Morin,Peru,797,2012,63%,France,3.75
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75
Adi,Vanua Levu,705,2011,60%,Fiji,2.75
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25
Adi,Vanua Levu,705,2011,88%,Fiji,3.5
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3
Ah Cacao,Tabasco,316,2009,70%,Mexico,3
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75
Alain Ducasse,Trinite,1215,2014,65%,France,2.75
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75
Alain Ducasse,Madagascar,1215,2014,75%,France,3
Alain Ducasse,Chuao,1061,2013,75%,France,2.5
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25
Amano,Morobe,725,2011,70%,U.S.A.,4
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75
Amano,Guayas,470,2010,70%,U.S.A.,4
Amano,Chuao,544,2010,70%,U.S.A.,3
Amano,Montanya,363,2009,70%,U.S.A.,3
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75
Amano,Madagascar,129,2007,70%,U.S.A.,3.5
Amano,Cuyagua,147,2007,70%,U.S.A.,3
Amano,Ocumare,175,2007,70%,U.S.A.,3.75
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5
Ambrosia,Belize,1494,2015,64%,Canada,3
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25
Ambrosia,Peru,1498,2015,68%,Canada,3.5
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75
Amedei,Porcelana,111,2007,70%,Italy,4
Amedei,Nine,111,2007,75%,Italy,4
Amedei,Chuao,111,2007,70%,Italy,5
Amedei,Ecuador,123,2007,70%,Italy,3
Amedei,Jamaica,123,2007,70%,Italy,3
Amedei,Grenada,123,2007,70%,Italy,3.5
Amedei,Venezuela,123,2007,70%,Italy,3.75
Amedei,Madagascar,123,2007,70%,Italy,4
Amedei,Trinidad,129,2007,70%,Italy,3.5
Amedei,Toscano Black,170,2007,63%,Italy,3.5
